,City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
324,2444219,Gouré,13.98,10.27,72.0,30,34,8.01,NE
325,3654410,Manta,-0.95,-80.73,71.6,83,40,9.17,EC
326,336496,Gimbi,9.17,35.83,54.77,83,0,1.92,ET
327,149812,Sokoni,-6.43,39.55,77.0,88,75,7.72,TZ
328,1626542,Sorong,-0.88,131.25,84.22,73,100,5.44,ID
329,5830007,Lander,42.83,-108.73,39.2,48,1,13.87,US
330,3448861,São João do Paraíso,-15.31,-42.01,68.34,88,100,4.32,BR
331,1687186,Sarangani,5.4,125.46,83.75,78,30,18.25,PH
332,610445,Balyqshy,47.07,51.87,10.4,78,0,11.18,KZ
333,493566,Shugurovo,54.51,52.13,9.52,89,0,0.96,RU
334,705433,Kolochava,48.43,23.7,37.33,84,94,2.33,UA
335,3432043,La Plata,-34.92,-57.95,62.01,90,0,7.81,AR
336,2122104,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,55,20,6.71,RU
337,556268,Ostrovnoy,68.05,39.51,34.39,89,100,27.4,RU
338,2243271,Cabinda,-5.55,12.2,77.67,85,100,7.9,AO
339,1629965,Tanete,-3.94,119.78,92.62,49,64,11.27,ID
340,1642773,Japura,-0.32,102.35,84.4,82,66,2.35,ID
341,3372707,Ribeira Grande,38.52,-28.7,65.57,89,18,16.42,PT
342,4634662,Kingsport,36.55,-82.56,50.0,39,1,10.29,US
343,3430443,Necochea,-38.55,-58.74,45.0,92,0,5.01,AR
344,3120431,Igualada,41.58,1.62,55.0,80,96,2.21,ES
345,2630299,Hofn,64.25,-15.21,37.4,77,99,20.29,IS
346,3435038,Dolores,-36.31,-57.68,46.29,93,0,4.16,AR
347,2514651,Los Llanos de Aridane,28.66,-17.92,69.8,83,0,2.24,ES
348,1501356,Kuragino,53.9,92.67,17.69,94,79,1.88,RU
349,2434584,Bousso,10.48,16.71,71.53,27,100,6.67,TD
350,1785036,Zhangye,38.93,100.45,45.16,47,25,4.41,CN
351,2083537,Wewak,-3.55,143.63,86.67,64,84,9.37,PG
352,3183284,Alghero,40.56,8.32,64.4,93,40,4.7,IT
353,1242110,Kalmunai,7.42,81.82,84.97,69,100,6.33,LK
354,3164387,Vieste,41.88,16.18,51.8,100,90,3.36,IT
355,711867,Bohuslav,49.55,30.87,37.85,93,95,7.52,UA
356,1235846,Matara,5.95,80.54,75.65,96,100,2.15,LK
357,5983607,Inuvik,68.35,-133.72,14.0,78,100,14.99,CA
358,3984997,San Quintín,30.48,-115.95,65.19,46,0,3.0,MX
